date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
11/12/2020,ARKG,"INVITAE CORP",NVTA,46185L103,6276325.00,295865960.50,8.88
11/12/2020,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,2735103.00,278351432.31,8.36
11/12/2020,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,16321248.00,272972872.80,8.20
11/12/2020,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,1789937.00,189733322.00,5.70
11/12/2020,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,3353682.00,161379177.84,4.85
11/12/2020,ARKG,"CAREDX INC",CDNA,14167L103,2357502.00,128318833.86,3.85
11/12/2020,ARKG,"SERES THERAPEUTICS INC",MCRB,81750R102,3567728.00,122765520.48,3.69
11/12/2020,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,655722.00,122613456.78,3.68
11/12/2020,ARKG,"PERSONALIS INC",PSNL,71535D106,4213127.00,121927895.38,3.66
11/12/2020,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,3134218.00,115370564.58,3.46
11/12/2020,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,920629.00,112703402.18,3.38
11/12/2020,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,1825840.00,94907163.20,2.85
11/12/2020,ARKG,"VERACYTE INC",VCYT,92337F107,1906403.00,88380843.08,2.65
11/12/2020,ARKG,"CELLECTIS - ADR",CLLS,15117K103,4677619.00,84150365.81,2.53
11/12/2020,ARKG,"PURE STORAGE INC - CLASS A",PSTG,74624M102,4751368.00,82626289.52,2.48
11/12/2020,ARKG,"COMPUGEN LTD",CGEN,M25722105,5936854.00,78782052.58,2.37
11/12/2020,ARKG,"INCYTE CORP",INCY,45337C102,900964.00,74167356.48,2.23
11/12/2020,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,2409636.00,71590285.56,2.15
11/12/2020,ARKG,"ILLUMINA INC",ILMN,452327109,201160.00,61214999.60,1.84
11/12/2020,ARKG,"EDITAS MEDICINE INC",EDIT,28106W103,2026424.00,56334587.20,1.69
11/12/2020,ARKG,"IONIS PHARMACEUTICALS INC",IONS,462222100,1010376.00,49761018.00,1.49
11/12/2020,ARKG,"CERUS CORP",CERS,157085101,8188288.00,49539142.40,1.49
11/12/2020,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,223842.00,48866947.02,1.47
11/12/2020,ARKG,"ACCOLADE INC",ACCD,00437E102,1300574.00,48121238.00,1.44
11/12/2020,ARKG,"ADAPTIVE BIOTECHNOLOGIES",ADPT,00650F109,848866.00,41331285.54,1.24
11/12/2020,ARKG,"10X GENOMICS INC-CLASS A",TXG,88025U109,292952.00,41004491.44,1.23
11/12/2020,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,2098194.00,35417514.72,1.06
11/12/2020,ARKG,"SCHRODINGER INC",SDGR,80810D103,655701.00,34548885.69,1.04
11/12/2020,ARKG,"GUARDANT HEALTH INC",GH,40131M109,296672.00,34408018.56,1.03
11/12/2020,ARKG,"NOVARTIS AG-SPONSORED ADR",NVS,66987V109,383361.00,32823368.82,0.99
11/12/2020,ARKG,"CASTLE BIOSCIENCES INC",CSTL,14843C105,612029.00,31696981.91,0.95
11/12/2020,ARKG,"SYROS PHARMACEUTICALS INC",SYRS,87184Q107,3539004.00,31037065.08,0.93
11/12/2020,ARKG,"PHREESIA INC",PHR,71944F106,723053.00,29674095.12,0.89
11/12/2020,ARKG,"CODEXIS INC",CDXS,192005106,1790779.00,27291471.96,0.82
11/12/2020,ARKG,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,560080.00,26183740.00,0.79
11/12/2020,ARKG,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,24900686.95,24900686.95,0.75
11/12/2020,ARKG,"AQUABOUNTY TECHNOLOGIES",AQB,03842K200,4898850.00,19889331.00,0.60
11/12/2020,ARKG,"PLURISTEM THERAPEUTICS INC",PSTI,72940R300,2092282.00,19269917.22,0.58
11/12/2020,ARKG,"BEAM THERAPEUTICS INC",BEAM,07373V105,544841.00,18709839.94,0.56
11/12/2020,ARKG,"THERMO FISHER SCIENTIFIC INC",TMO,883556102,36020.00,17525891.20,0.53
11/12/2020,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,28492.00,15863775.76,0.48
11/12/2020,ARKG,"EVOGENE LTD",EVGN,M4119S104,4602387.00,11690062.98,0.35
11/12/2020,ARKG,"BERKELEY LIGHTS INC",BLI,084310101,109509.00,9946702.47,0.30
11/12/2020,ARKG,"REPARE THERAPEUTICS INC",RPTX,760273102,303210.00,8338275.00,0.25
11/12/2020,ARKG,"SURFACE ONCOLOGY INC",SURF,86877M209,576260.00,5347692.80,0.16
11/12/2020,ARKG,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,375748.00,3438094.20,0.10
,,,,,,,
,,,,,,,
